Date,sku_id,unit_sold
2024-05-07,BXCL1756,1
2024-05-07,BXCM1608,1
2024-05-07,BXCM1653,1
2024-05-07,BXCM3797,1
2024-05-07,BXCM4772,1
2024-05-07,BXCL1562,0
2024-05-07,BXCL1563,0
2024-05-07,BXCL1641,0
2024-05-07,BXCL1786,0
2024-05-07,BXCM1016,0
2024-05-07,BXCM1809,0
2024-05-07,BXCM2358,0
2024-05-07,BXCM3765,0
2024-05-07,BXCM4486,0
2024-05-07,BXCM4487,0
2024-05-07,BXCM4488,0
2024-05-07,BXCM4493,0
2024-05-07,BXCM4494,0
2024-05-07,BXCM4645,0
2024-05-07,BXCM4752,0
2024-05-07,BXCM4763,0
2024-05-07,BXCM4774,0
2024-05-07,BXCL1150,0
2024-05-07,BXCM1651,0
2024-05-07,BXCM4040,0
2024-05-07,BXCM4068,0
2024-05-07,BXCM4260,0
2024-05-07,BXCM4491,0
2024-05-07,BXCM4732,0
2024-05-07,BXCM1650,0
2024-05-07,BXCM1657,0
2024-05-07,BXCM4492,0
2024-05-07,BXCL1645,0
2024-05-07,BXCL1783,0
2024-05-07,BXCM3777,0
2024-05-07,BXCM4270,0
2024-05-07,BXCM5023,0
2024-05-07,BXCM3686,0
2024-05-07,BXCL1175,0
2024-05-07,BXCM1655,0
2024-05-07,BXCM3885,0
2024-05-07,BXCM4214,0
2024-05-07,BXCM4216,0
2024-05-07,BXCM4489,0
2024-05-07,BXCM1637,0
2024-05-07,BXCM4006,0
2024-05-07,BXCM4684,0
2024-05-07,BXCL1784,0
2024-05-07,BXCM5119,0
2024-05-07,BXCL1556,0
2024-05-07,BXCM1676,0
2024-05-07,BXCM4254,0
2024-05-07,BXCM4525,0
2024-05-07,BXCM5032,0
2024-05-07,BXCM1606,0
2024-05-07,BXCL1609,0
2024-05-07,BXCM1656,0
2024-05-07,BXCM1810,0
2024-05-07,BXCM4490,0
2024-05-07,BXCM1652,0
2024-05-07,BXCM4835,0
2024-05-07,BXCL1612,0
2024-05-07,BXCM4524,0
2024-05-07,BXCM4529,0
2024-05-07,BXCM4596,0
2024-05-07,BXCL1197,0
2024-05-07,BXCL1201,0
2024-05-07,BXCL1202,0
2024-05-07,BXCM4737,0
2024-05-07,BXCL1172,0
2024-05-07,BXCL1408,0
2024-05-07,BXCL1725,0
2024-05-07,BXCL1727,0
2024-05-07,BXCL1730,0
2024-05-07,BXCM2359,0
2024-05-07,BXCM4472,0
2024-05-07,BXCM4482,0
2024-05-07,BXCM4833,0
2024-05-07,BXCL1145,0
2024-05-07,BXCL1740,0
2024-05-07,BXCM1607,0
2024-05-07,BXCM3690,0
2024-05-07,BXCM4830,0
2024-05-07,BXCM5059,0
2024-05-07,BXCL1287,0
2024-05-07,BXCM3891,0
2024-05-07,BXCL1551,0
2024-05-07,BXCM1778,0
2024-05-07,BXCM1751,0
2024-05-07,BXCM4592,0
2024-05-07,BXCM5146,0
2024-05-07,BXCM1609,0
2024-05-07,BXCL1772,0
2024-05-07,BXCM4178,0
2024-05-07,BXCM4593,0
2024-05-07,BXCM4521,0
2024-05-07,BXCM4608,0
2024-05-07,BXCM3781,0
2024-05-07,BXCM4288,0
2024-05-07,BXCM4738,0
2024-05-07,BXCM4743,0
2024-05-07,BXCM5114,0
2024-05-07,BXCM4093,0
2024-05-07,BXCM3892,0
2024-05-07,BXCM5155,0
2024-05-07,BXCL1149,0
2024-05-07,BXCL1546,0
2024-05-07,BXCM1617,0
2024-05-07,BXCM5152,0
2024-05-07,BXCM3878,0
2024-05-07,BXCM5151,0
2024-05-07,BXCM1616,0
